"id";"api_id";"category";"description";"external_id";"fuel_type";"license_id";"model";"operator";"provider"
1931530;2574840;"";"Al-Amin";"DriveNow_13229464";"PETROL";"YB65FEM";"BMW 1er";"DriveNow";"driveNow"
1931531;2575662;"";"Roberta";"DriveNow_13393637";"DIESEL";"W-62827D";"MINI 3-Tuerer";"DriveNow";"driveNow"
1931532;1359677;"";"B-GO4271";"WME4533421K064103";"PETROL";"";"";"car2go";"car2go"
1931533;1358247;"";"B-GO3869";"WME4533421K037564";"PETROL";"";"";"car2go";"car2go"
1931534;2574622;"";"Gustaf";"DriveNow_13424257";"PETROL";"M-DX9167";"MINI Clubman";"DriveNow";"driveNow"
1931535;2575680;"";"William";"DriveNow_13497244";"DIESEL";"YGY662";"BMW 1er";"DriveNow";"driveNow"
1931536;2335606;"";"2276 / W-79324C";"WME4533421K175869";"PETROL";"";"";"car2go";"car2go"
1931537;1358352;"";"B-GO4445";"WME4533421K071740";"PETROL";"";"";"car2go";"car2go"
1931538;1358501;"";"B-GO7025";"WME4533421K088910";"PETROL";"";"";"car2go";"car2go"
1931539;1490242;"";"Harrison";"DriveNow_13424213";"PETROL";"M-DX8659";"MINI 5-Tuerer";"DriveNow";"driveNow"
1931540;1357208;"";"B-GO3818";"WME4533421K038226";"PETROL";"";"";"car2go";"car2go"
1931541;331788;"";"Adrienne";"DriveNow_13292659";"PETROL";"M-DX5210";"MINI 3-Tuerer";"DriveNow";"driveNow"
1931542;2576354;"";"Tobias";"DriveNow_13152507";"ELECTRICITY";"AV75147";"BMW i3";"DriveNow";"driveNow"
1931543;1356721;"";"B-GO4501";"WME4533421K071027";"PETROL";"";"";"car2go";"car2go"
1931544;1356726;"";"B-GO5417";"WDC1569421J265950";"PETROL";"";"";"car2go";"car2go"
1931545;1359592;"";"B-GO4188";"WME4533421K043331";"PETROL";"";"";"car2go";"car2go"
1931546;1355728;"";"1451 / W-85329C";"WME4513341K831709";"PETROL";"";"";"car2go";"car2go"
1931547;962448;"";"Jordan";"DriveNow_13389716";"DIESEL";"M-DX6348";"BMW 2er Active Tourer";"DriveNow";"driveNow"
1931548;1358745;"";"B-GO4200";"WME4533421K043160";"PETROL";"";"";"car2go";"car2go"
1931549;1358259;"";"B-GO3467";"WME4533421K037206";"PETROL";"";"";"car2go";"car2go"
1931550;2577286;"";"Roselle";"DriveNow_13200006";"PETROL";"M-DX9730";"MINI 5-Tuerer";"DriveNow";"driveNow"
1931551;629904;"";"Eve";"DriveNow_13381928";"DIESEL";"M-DX5852";"BMW 1er";"DriveNow";"driveNow"
1931552;1356344;"";"B-GO8199";"WME4533421K088183";"PETROL";"";"";"car2go";"car2go"
1931553;32478;"";"Alexa";"DriveNow_13203085";"ELECTRICITY";"M-EV5700";"BMW i3";"DriveNow";"driveNow"
1931554;1357831;"";"1418 / W-85290C";"WME4513341K831872";"PETROL";"";"";"car2go";"car2go"
1931555;341102;"";"Hanna";"DriveNow_13292493";"PETROL";"M-DX5230";"MINI 5-Tuerer";"DriveNow";"driveNow"
1931556;1358285;"";"B-GO3460";"WME4533421K037434";"PETROL";"";"";"car2go";"car2go"
1931557;1355705;"";"B-GO6910";"WME4533421K084984";"PETROL";"";"";"car2go";"car2go"
1931558;1632691;"";"Row";"DriveNow_13432566";"PETROL";"M-DX8805";"MINI 3-Tuerer";"DriveNow";"driveNow"
1931559;1360672;"";"B-GO6883";"WME4533421K085992";"PETROL";"";"";"car2go";"car2go"
1931560;1356846;"";"B-GO8019";"WME4533421K087351";"PETROL";"";"";"car2go";"car2go"
1931561;2575612;"";"Ahmed";"DriveNow_13229489";"PETROL";"YB65HHC";"BMW 1er";"DriveNow";"driveNow"
1931562;1359428;"";"B-GO5577";"WDD1760431J521452";"PETROL";"";"";"car2go";"car2go"
1931563;1356516;"";"B-GO3704";"WME4533421K039090";"PETROL";"";"";"car2go";"car2go"
1931564;2577196;"";"Bo";"DriveNow_13389742";"DIESEL";"M-DX6283";"BMW 2er Active Tourer";"DriveNow";"driveNow"
1931565;32314;"";"Clarice";"DriveNow_13203109";"ELECTRICITY";"M-EV5672";"BMW i3";"DriveNow";"driveNow"
1931566;1359593;"";"B-GO7122";"WME4533421K088573";"PETROL";"";"";"car2go";"car2go"
1931567;1355920;"";"1513 / W-85396C";"WME4513341K831928";"PETROL";"";"";"car2go";"car2go"
1931568;1385465;"";"B-GO3505";"WME4533421K036479";"PETROL";"";"";"car2go";"car2go"
1931569;1358754;"";"S-GO2486";"WME4513901K698142";"ELECTRICITY";"";"";"car2go";"car2go"
1931570;1359741;"";"B-GO8067";"WME4533421K088045";"PETROL";"";"";"car2go";"car2go"
1931571;1357199;"";"S-GO2608";"WME4513901K819890";"ELECTRICITY";"";"";"car2go";"car2go"
1931572;1357981;"";"1660 / W-85564C";"WME4513341K833910";"PETROL";"";"";"car2go";"car2go"
1931573;2576469;"";"Cinnamon";"DriveNow_13413282";"PETROL";"1PKY426";"BMW 1er";"DriveNow";"driveNow"
1931574;1356225;"";"1620 / W-85518C";"WME4513341K834200";"PETROL";"";"";"car2go";"car2go"
1931575;1359451;"";"B-GO4645";"WME4533421K069806";"PETROL";"";"";"car2go";"car2go"
1931576;296389;"";"Debby";"DriveNow_13202386";"DIESEL";"M-DX9658";"BMW 1er";"DriveNow";"driveNow"
1931577;322301;"";"Cornelius";"DriveNow_13360178";"PETROL";"M-DX5123";"MINI 3-Tuerer";"DriveNow";"driveNow"
1931578;2575213;"";"Antonetta";"DriveNow_13395160";"PETROL";"1PEV802";"BMW 2er Active Tourer";"DriveNow";"driveNow"
1931579;1657224;"";"Bride";"DriveNow_13432567";"PETROL";"M-DX8844";"MINI 3-Tuerer";"DriveNow";"driveNow"
1931580;1358816;"";"B-GO5584";"WDD1760431J521436";"PETROL";"";"";"car2go";"car2go"
1931581;1357846;"";"B-GO8636";"WDD1760431J513010";"PETROL";"";"";"car2go";"car2go"
1931582;1357242;"";"B-GO6720";"WME4533421K075751";"PETROL";"";"";"car2go";"car2go"
1931583;2574880;"";"Nanni";"DriveNow_13462712";"DIESEL";"M-DX8824";"BMW 2er Active Tourer";"DriveNow";"driveNow"
1931584;2577673;"";"Ion";"DriveNow_13119962";"ELECTRICITY";"M-EV1120";"BMW i3";"DriveNow";"driveNow"
