"id";"api_id";"description";"latitude";"longitude";"external_id";"operator";"provider"
200;32646;"REWE";"52.420605";"13.3588175";"015004";"Vattenfall";"vattenfall"
201;32714;"";"52.43498";"13.43448";"015045";"Vattenfall";"vattenfall"
202;32744;"";"52.3704916";"13.5271806";"t53_1314_016";"Vattenfall";"vattenfall"
203;32709;"";"52.431059";"13.5342139";"1-S95-0620";"Vattenfall";"vattenfall"
204;32700;"Elektroinnung";"52.457948";"13.526734";"015011";"Vattenfall";"vattenfall"
205;32731;"Elektroinnung";"52.457948";"13.526734";"t53_1314_015";"Vattenfall";"vattenfall"
206;32680;"";"52.4138";"13.4924";"015025";"Vattenfall";"vattenfall"
207;32734;"REWE";"52.42539";"13.58593";"015017";"Vattenfall";"vattenfall"
208;32720;"ECE Allee-Center";"52.53497";"13.4959";"015029";"Vattenfall";"vattenfall"
209;32759;"Eastgate";"52.5427053";"13.5424081";"015038";"Vattenfall";"vattenfall"
210;32712;"TOTAL-Tankstelle";"52.5481579";"13.4675685";"015035";"Vattenfall";"vattenfall"
211;32697;"IKEA Parkplatz";"52.5334538";"13.513248";"015026";"Vattenfall";"vattenfall"
212;4638;"REWE Parkplatz";"52.55028";"13.4334";"015033";"Vattenfall";"vattenfall"
213;4610;"Q-Park";"52.523461";"13.413223";"015039";"Vattenfall";"vattenfall"
214;4606;"TOTAL-Tankstelle";"52.5109368";"13.4290864";"015034";"Vattenfall";"vattenfall"
215;4642;"VE Hauptverwaltung";"52.494853";"13.452201";"015001";"Vattenfall";"vattenfall"
216;4549;"";"52.46432";"13.36712";"015031";"Vattenfall";"vattenfall"
217;32654;"REWE Parkplatz";"52.48625";"13.45727";"015037";"Vattenfall";"vattenfall"
218;4643;"RingCenter";"52.51377";"13.47555";"015005";"Vattenfall";"vattenfall"
219;1208893;"";"52.4855018";"13.3329146";"EVB-P1407242";"Vattenfall";"vattenfall"
220;4547;"";"52.4701637";"13.3718032";"E8_TOTAL_SCHOEN";"Vattenfall";"vattenfall"
221;4548;"Andreas Daubitz";"52.4652559";"13.3700231";"015030";"Vattenfall";"vattenfall"
222;4627;"EUREF";"52.4801304";"13.3550252";"XT6";"Vattenfall";"vattenfall"
223;32729;"";"52.467965";"13.328093";"015055";"Vattenfall";"vattenfall"
224;32695;"";"52.468971";"13.328671";"015058";"Vattenfall";"vattenfall"
225;4628;"EUREF";"52.4801304";"13.3550252";"EBG_MSL_0003";"Vattenfall";"vattenfall"
226;32737;"";"52.4664204";"13.3302472";"015057";"Vattenfall";"vattenfall"
